parent_id,child_id,relationship_type
mayor_1,cabinet_1,reports_to
mayor_1,dgs_1,reports_to
cabinet_1,maire_secretariat_1,reports_to
cabinet_1,communication_1,reports_to
dgs_1,secretariat_general_1,reports_to
dgs_1,marches_publics_1,reports_to
dgs_1,police_direction_1,reports_to
dgs_1,police_service_1,reports_to
dgs_1,finance_direction_1,reports_to
dgs_1,rh_direction_1,reports_to
dgs_1,ccas_direction_1,reports_to
dgs_1,dga_population_1,reports_to
dgs_1,dga_technique_1,reports_to
finance_direction_1,finance_service_1,reports_to
rh_direction_1,rh_service_1,reports_to
dga_population_1,ctg_1,reports_to
dga_population_1,administration_generale_1,reports_to
dga_population_1,vie_familiale_1,reports_to
dga_population_1,sport_1,reports_to
dga_population_1,jeunesse_periscolaire_1,reports_to
dga_population_1,affaires_scolaires_1,reports_to
dga_population_1,culture_patrimoine_1,reports_to
dga_technique_1,urbanisme_1,reports_to
dga_technique_1,batiments_logistique_1,reports_to
dga_technique_1,voirie_espaces_verts_1,reports_to
